"Localidade";"Ano";"Densidade Demográfica (hab/km²)";"Crimes de Estupro ";"Crimes de Roubo "
"Querência do Norte";"2021";"12,16";"14";"5"
"Quinta do Sol";"2021";"13,64";"6";"3"
"Quitandinha";"2021";"43,40";"4";"18"
"Ramilândia";"2021";"18,74";"5";"-"
"Rancho Alegre";"2021";"22,38";"-";"3"
"Rancho Alegre D'Oeste";"2021";"10,84";"1";"-"
"Realeza";"2021";"47,75";"9";"16"
"Rebouças";"2021";"31,15";"5";"6"
"Renascença";"2021";"15,90";"11";"2"
"Reserva";"2021";"16,38";"29";"41"
"Reserva do Iguaçu";"2021";"9,76";"7";"2"
"Ribeirão Claro";"2021";"16,96";"8";"2"
"Ribeirão do Pinhal";"2021";"34,20";"8";"21"
"Rio Azul";"2021";"25,69";"10";"2"
"Rio Bom";"2021";"17,81";"1";"1"
"Rio Bonito do Iguaçu";"2021";"19,28";"3";"6"
"Rio Branco do Ivaí";"2021";"10,80";"3";"2"
"Rio Branco do Sul";"2021";"39,81";"21";"65"
"Rio Negro";"2021";"57,29";"10";"38"
"Rolândia";"2021";"150,09";"24";"202"
"Roncador";"2021";"12,74";"3";"8"
"Rondon";"2021";"17,52";"2";"8"
"Rosário do Ivaí";"2021";"12,16";"2";"3"
"Sabáudia";"2021";"36,31";"5";"6"
"Salgado Filho";"2021";"18,06";"1";"-"
"Salto do Itararé";"2021";"24,34";"5";"2"
"Salto do Lontra";"2021";"47,87";"11";"2"
"Santa Amélia";"2021";"40,94";"3";"3"
"Santa Cecília do Pavão";"2021";"30,62";"-";"3"
"Santa Cruz de Monte Castelo";"2021";"17,40";"4";"9"
"Santa Fé";"2021";"44,63";"4";"6"
"Santa Helena";"2021";"35,64";"14";"16"
"Santa Inês";"2021";"10,03";"-";"1"
"Santa Isabel do Ivaí";"2021";"24,34";"-";"14"
"Santa Izabel do Oeste";"2021";"46,31";"6";"10"
"Santa Lúcia";"2021";"29,46";"-";"2"
"Santa Maria do Oeste";"2021";"11,12";"7";"2"
"Santa Mariana";"2021";"27,08";"2";"11"
"Santa Mônica";"2021";"15,62";"2";"3"
"Santa Tereza do Oeste";"2021";"30,75";"13";"24"
"Santa Terezinha de Itaipu";"2021";"89,49";"6";"46"
"Santana do Itararé";"2021";"19,52";"6";"1"
"Santo Antônio da Platina";"2021";"64,45";"20";"97"
"Santo Antônio do Caiuá";"2021";"11,75";"-";"4"
"Santo Antônio do Paraíso";"2021";"12,46";"-";"-"
"Santo Antônio do Sudoeste";"2021";"62,48";"6";"12"
"Santo Inácio";"2021";"19,31";"2";"3"
"São Carlos do Ivaí";"2021";"30,93";"4";"15"
"São Jerônimo da Serra";"2021";"13,44";"4";"7"
"São João";"2021";"26,27";"6";"4"
"São João do Caiuá";"2021";"19,06";"2";"-"
"São João do Ivaí";"2021";"28,07";"3";"9"
"São João do Triunfo";"2021";"21,36";"6";"2"
"São Jorge do Ivaí";"2021";"17,54";"-";"5"
"São Jorge do Patrocínio";"2021";"13,52";"2";"2"
"São Jorge d'Oeste";"2021";"23,78";"4";"3"
"São José da Boa Vista";"2021";"15,32";"3";"4"
"São José das Palmeiras";"2021";"19,71";"3";"-"
"São José dos Pinhais";"2021";"353,77";"138";"1.012"
"São Manoel do Paraná";"2021";"22,93";"-";"1"
"São Mateus do Sul";"2021";"35,12";"16";"22"
"São Miguel do Iguaçu";"2021";"32,49";"16";"75"
"São Pedro do Iguaçu";"2021";"18,59";"-";"6"
"São Pedro do Ivaí";"2021";"34,40";"4";"7"
"São Pedro do Paraná";"2021";"8,89";"4";"-"
"São Sebastião da Amoreira";"2021";"39,21";"4";"11"
"São Tomé";"2021";"26,49";"5";"4"
"Sapopema";"2021";"9,89";"9";"10"
"Sarandi";"2021";"952,55";"63";"122"
"Saudade do Iguaçu";"2021";"37,34";"5";"-"
"Sengés";"2021";"13,50";"11";"19"
"Serranópolis do Iguaçu";"2021";"9,22";"1";"3"
"Sertaneja";"2021";"11,46";"2";"7"
"Sertanópolis";"2021";"32,59";"5";"29"
"Siqueira Campos";"2021";"77,11";"15";"21"
"Sulina";"2021";"16,49";"4";"-"
"Tamarana";"2021";"32,28";"10";"29"
"Tamboara";"2021";"26,91";"4";"10"
"Tapejara";"2021";"27,59";"2";"6"
"Tapira";"2021";"12,50";"3";"8"
"Teixeira Soares";"2021";"14,15";"4";"1"
"Telêmaco Borba";"2021";"58,29";"57";"397"
"Terra Boa";"2021";"53,36";"11";"9"
"Terra Rica";"2021";"24,42";"10";"8"
"Terra Roxa";"2021";"21,93";"14";"36"
"Tibagi";"2021";"6,96";"17";"57"
"Tijucas do Sul";"2021";"25,76";"7";"22"
"Toledo";"2021";"120,95";"43";"111"
"Tomazina";"2021";"12,99";"2";"2"
"Três Barras do Paraná";"2021";"23,61";"11";"4"
"Tunas do Paraná";"2021";"13,78";"18";"2"
"Tuneiras do Oeste";"2021";"12,13";"5";"10"
"Tupãssi";"2021";"27,03";"4";"4"
"Turvo";"2021";"13,88";"10";"6"
"Ubiratã";"2021";"31,86";"14";"24"
"Umuarama";"2021";"91,89";"48";"147"
"União da Vitória";"2021";"81,28";"34";"85"
"Uniflor";"2021";"27,62";"1";"2"
"Uraí";"2021";"47,28";"1";"7"
"Ventania";"2021";"15,00";"2";"20"
"Vera Cruz do Oeste";"2021";"25,35";"1";"10"
"Verê";"2021";"22,64";"3";"1"
"Virmond";"2021";"16,28";"3";"1"
"Vitorino";"2021";"22,38";"4";"1"
"Wenceslau Braz";"2021";"48,86";"14";"12"
"Xambrê";"2021";"15,54";"1";"6"
